qid,question,gold_answers,model_answer,fuzzy_verdict,human_label
popqa-1468996,What is the capital of Estonia?,Tallinn | Reval | Revel | Rewel | Kolywan | Lyndanisse | Lindanäs | Reuel,Estonia,incorrect,
popqa-1706834,What is the capital of Moldova?,Chișinău | Chisinau | Kishinev | Chişinău | Keshenev | Kischinew | Kyshyniv | Kiszyniów | Kišinìv | Kişinev | Keshinov | Khisinau | Kishinëv | Kishinef | Kiscinev,Bucharest,incorrect,
popqa-1712488,What is the capital of Romania?,Bucharest | Little Paris | Paris of the East | București | Bucureşti | Bucuresti | Буцуреșти,Rome,incorrect,
popqa-1734901,What is the capital of Albania?,Tirana | Tirane | Tiranë,Albany,incorrect,
popqa-1752279,What is the capital of Bosnia and Herzegovina?,Sarajevo | City of Sarajevo,Bosanski Kraljevstvo,incorrect,
popqa-1775298,What is the capital of Cyprus?,Nicosia | Lefkosia,Cyprus,incorrect,
popqa-1867834,What is the capital of Belize?,Belmopan | The Garden City | The Planned City | City of Promise,Belize City,incorrect,
popqa-1882504,What is the capital of Barbados?,Bridgetown,Barbados,incorrect,
popqa-19472,What is the capital of Madagascar?,Antananarivo | Tananarive | Iarivo | Analamanga,Madagascar,incorrect,
popqa-2088053,What sport does Mr. Olympia play?,bodybuilding | body building | body-building,weightlifting,incorrect,
popqa-239951,What is the capital of Michigan?,"Lansing | Lansing, Michigan",Grand Rapids,incorrect,
popqa-306840,What is the capital of South Dakota?,"Pierre | Pierre, South Dakota | Pierre, SD",Bismarck,incorrect,
popqa-307727,What is the capital of Montana?,"Helena | Helena, Montana",Boise,incorrect,
popqa-3108719,What is the capital of Portugal?,Lisbon | Lisboa,Porto,incorrect,
popqa-39178,What is the capital of Nigeria?,Abuja | ABV | ABJ | FCT | Federal Capital Territory,Niger City,incorrect,
popqa-523639,What is the capital of New York?,"Albany | Albany, New York",New York City,incorrect,
popqa-552289,What is the capital of New Jersey?,"Trenton | Western New Jersey | Trenton City, Mercer County, New Jersey | Trenton Township, Mercer County, New Jersey | Trenton City, New Jersey | Trenton Township, New Jersey | Trenton, New Jersey",Newark,incorrect,
popqa-5660051,What is the capital of Colombia?,"Bogotá | Santa Fe de Bogotá | Santafé de Bogotá | Bogota | Bogota, Colombia",Cali,incorrect,
